,Unnamed: 0,station,netbeheerder,status,totale_capaciteit_invoeding_mva,totale_capaciteit_afname_mva,beschikbare_capaciteit_invoeding_huidig_mva,beschikbare_capaciteit_afname_huidig_mva,verwacht_jaar_van_overbelasting_invoeding,verwacht_jaar_van_overbelasting_afname,investeringsplanning_vermogen_invoeding,investeringsplanning_vermogen_afname,investeringsplanning_tijd_invoeding,investeringsplanning_tijd_afname,beschikbare_capaciteit_invoeding_3_jaar_mva,beschikbare_capaciteit_afname_3_jaar_mva,beschikbare_capaciteit_invoeding_5_jaar_mva,beschikbare_capaciteit_afname_5_jaar_mva,beschikbare_capaciteit_invoeding_10_jaar_mva,beschikbare_capaciteit_afname_10_jaar_mva,peildatum,beschikbare_capaciteit_afname_3_jaar_mva_visualisatie,beschikbare_capaciteit_afname_5_jaar_mva_visualisatie,beschikbare_capaciteit_afname_10_jaar_mva_visualisatie,beschikbare_capaciteit_afname_huidig_mva_visualisatie,beschikbare_capaciteit_invoeding_3_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_5_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_10_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_huidig_mva_visualisatie,geometry,zip_code
10,10.0,Blerick,Enexis,Bestaand,50.0,87.0,0.0,0.0,2023,2023,0.0,19.0,>2035,2028,0,0,0,0,0,19,2023/02/01,0,0,19,0,0,0,0,0,(51.37596031549207 6.158732126146783),5928 NE
11,11.0,Boekend,Enexis,Bestaand,150.0,38.0,0.0,0.0,2023,2023,59.0,13.0,2028,2028,0,0,0,0,59,13,2023/02/01,0,0,13,0,0,0,59,0,(51.390386116975726 6.113811007165699),5928 LA
12,12.0,Born,Enexis,Bestaand,65.0,71.0,0.0,0.0,2023,2023,0.0,2.0,>2035,2028,0,0,0,0,0,2,2023/02/01,0,0,2,0,0,0,0,0,(51.048698904814984 5.831000236204521),6114 RE
13,13.0,Boschpoort,Enexis,Bestaand,45.0,45.0,0.0,0.0,2023,>2035,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(50.86171463962924 5.6952971775578325),6219 AW
14,15.0,Boxtel,Enexis,Bestaand,30.0,36.0,0.0,0.0,2023,2023,20.0,46.0,2026,2026,0,0,20,46,20,46,2023/02/01,0,46,46,0,0,20,20,0,(51.5758884324717 5.321229389765945),5281 PJ
15,16.0,Breda,Enexis,Bestaand,61.0,130.0,0.0,0.0,2023,2023,0.0,26.0,>2035,2026,0,0,0,26,0,26,2023/02/01,0,26,26,0,0,0,0,0,(51.608130775205005 4.775101280662528),4825 BK
16,17.0,Buggenum,Enexis,Bestaand,50.0,55.0,0.0,0.0,2023,2023,0.0,21.0,>2035,2028,0,0,0,0,0,21,2023/02/01,0,0,21,0,0,0,0,0,(51.22332917160488 5.968151677076707),6085 NB
17,18.0,Californie,Enexis,Bestaand,35.0,7.0,0.0,0.0,2023,2023,58.0,68.0,2028,2028,0,0,0,0,58,68,2023/02/01,0,0,68,0,0,0,58,0,(51.4226117971755 6.10316708735414),5971 ND
18,19.0,Coevorden,Enexis,Bestaand,184.0,59.0,0.0,0.0,2033,>2035,0.0,41.0,>2035,2030,0,0,0,0,0,41,2023/02/01,0,0,41,0,0,0,0,0,(52.658963775792536 6.71118162518469),7741 KK
19,20.0,Cuijk,Enexis,Bestaand,35.0,33.0,0.0,0.0,2023,2023,0.0,2.0,>2035,2028,0,0,0,0,0,2,2023/02/01,0,0,2,0,0,0,0,0,(51.74027034048771 5.844545098383899),5439 NR
20,21.0,Dedemsvaart,Enexis,Bestaand,35.0,18.0,0.0,0.0,2023,2028,65.0,12.0,2030,2030,0,0,0,0,65,12,2023/02/01,0,0,12,0,0,0,65,0,(52.603945519458776 6.491109575047468),7701 BR
21,22.0,Deventer Bergweide,Enexis,Bestaand,45.0,50.0,0.0,1.0,2023,2027,25.0,11.0,2030,2026,0,1,0,12,25,31,2023/02/01,1,12,31,1,0,0,25,0,(52.24300796603579 6.188355174439002),7418 EK
22,23.0,Deventer Platvoet,Enexis,Bestaand,1.0,40.0,0.0,2.0,2023,2035,59.0,10.0,2030,2030,0,2,0,2,59,12,2023/02/01,2,2,12,2,0,0,59,0,(52.27700724630873 6.135186853379174),7414 KP
23,24.0,Dinteloord,Enexis,Bestaand,144.0,49.0,0.0,0.0,2023,2023,0.0,27.0,>2035,2026,0,0,0,27,0,27,2023/02/01,0,27,27,0,0,0,0,0,(51.62149194156628 4.395855823761049),4671 PH
24,25.0,Eemshaven Midden,Enexis,Bestaand,200.0,134.0,0.0,112.0,>2035,>2035,0.0,0.0,>2035,>2035,0,112,0,112,0,112,2023/02/01,112,112,112,112,0,0,0,0,(53.44890949610338 6.794526890820904),9979 XP
25,26.0,Eemshaven Oost,Enexis,Bestaand,155.0,99.0,0.0,59.0,>2035,>2035,0.0,0.0,>2035,>2035,0,59,0,59,0,59,2023/02/01,59,59,59,59,0,0,0,0,(53.430092482153285 6.8699091636284),9979 XB
26,27.0,Eerde,Enexis,Bestaand,130.0,125.0,0.0,0.0,2023,2023,70.0,27.0,2026,2026,0,0,70,27,70,27,2023/02/01,0,27,27,0,0,70,70,0,(51.60593725870719 5.489271444050359),5466 PM
27,28.0,Eindhoven Noord,Enexis,Bestaand,65.0,97.0,0.0,0.0,2023,2023,45.0,15.0,2026,2026,0,0,45,15,45,15,2023/02/01,0,15,15,0,0,45,45,0,(51.46106123624126 5.444614679180128),5626 NA
28,29.0,Eindhoven Oost,Enexis,Bestaand,122.0,156.0,0.0,0.0,2023,2023,128.0,31.0,2028,2026,0,0,0,31,128,94,2023/02/01,0,31,94,0,0,0,128,0,(51.44732351997319 5.529783821649462),5641 JA
29,30.0,Eindhoven West,Enexis,Bestaand,32.0,79.0,0.0,0.0,2023,2023,137.0,11.0,2028,2026,0,0,0,11,137,11,2023/02/01,0,11,11,0,0,0,137,0,(51.42712088180973 5.433061583200983),5652 AX
30,31.0,Eindhoven Zuid,Enexis,Bestaand,36.0,92.0,0.0,0.0,2023,2023,0.0,35.0,>2035,2026,0,0,0,35,0,35,2023/02/01,0,35,35,0,0,0,0,0,(51.40964109754721 5.46550218444846),5644 RS
31,32.0,Emmen Weerdinge,Enexis,Bestaand,30.0,40.0,0.0,0.0,2023,2034,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(52.80768123990122 6.909229425427687),7822 BJ
32,33.0,Enschede Marssteden,Enexis,Bestaand,16.0,35.0,0.0,5.0,>2035,2028,0.0,2.0,>2035,2029,0,5,0,5,0,7,2023/02/01,5,5,7,5,0,0,0,0,(52.21361033085459 6.830000339471162),7547 TL
33,34.0,Enschede van Heekstraat,Enexis,Bestaand,0.0,49.0,0.0,2.0,>2035,>2035,20.0,0.0,2030,>2035,0,2,0,2,20,2,2023/02/01,2,2,2,2,0,0,20,0,(52.2272545630108 6.866743316800172),7521 CV
34,35.0,Enschede Vechtstraat,Enexis,Bestaand,4.0,37.0,0.0,1.0,>2035,2034,0.0,0.0,>2035,>2035,0,1,0,1,0,1,2023/02/01,1,1,1,1,0,0,0,0,(52.23649159523294 6.903699673429544),7523 DZ
35,36.0,Enschede Wesselerbrink,Enexis,Bestaand,66.0,43.0,0.0,10.0,2025,2034,0.0,0.0,>2035,>2035,0,10,0,10,0,10,2023/02/01,10,10,10,10,0,0,0,0,(52.1978721881474 6.8897092634166555),7544 GG
36,37.0,Etten,Enexis,Bestaand,122.0,102.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(51.573229228127765 4.607818690384211),4877 AA
37,38.0,Gasselte Kraanlanden,Enexis,Bestaand,87.0,57.0,0.0,18.0,2023,>2035,127.0,63.0,2030,2030,0,18,0,18,127,81,2023/02/01,18,18,81,18,0,0,127,0,(52.985810367039996 6.822517036957034),9514 BZ
38,39.0,Geertruidenberg,Enexis,Bestaand,119.0,79.0,0.0,0.0,2023,2023,0.0,7.0,>2035,2026,0,0,0,7,0,7,2023/02/01,0,7,7,0,0,0,0,0,(51.693956407466594 4.844032106102939),4931 NB
39,40.0,Gennep,Enexis,Bestaand,15.0,37.0,0.0,0.0,2023,2023,20.0,7.0,2028,2028,0,0,0,0,20,52,2023/02/01,0,0,52,0,0,0,20,0,(51.69333105159339 5.968023057593631),6591 HG
40,41.0,Goor,Enexis,Bestaand,81.0,39.0,0.0,1.0,2025,2026,48.0,11.0,2023,2023,48,12,48,16,48,16,2023/02/01,12,16,16,1,48,48,48,0,(52.25055989715931 6.590751215230203),7472 AC
41,43.0,Groningen Bloemsingel,Enexis,Bestaand,18.0,34.0,0.0,5.0,2026,2032,0.0,53.0,>2035,2030,0,5,0,5,0,61,2023/02/01,5,5,61,5,0,0,0,0,(53.22637475779181 6.564554550922929),9714 DS
42,44.0,Groningen Bornholmstraat,Enexis,Bestaand,59.0,67.0,0.0,3.0,2025,>2035,0.0,37.0,>2035,2030,0,3,0,3,0,40,2023/02/01,3,3,40,3,0,0,0,0,(53.20971799537289 6.594478673838062),9723 AW
43,45.0,Groningen Hunze,Enexis,Bestaand,62.0,31.0,0.0,1.0,2025,2025,28.0,2.0,2024,2024,28,3,28,3,28,111,2023/02/01,3,3,111,1,28,28,28,0,(53.20622377333333 6.5943556697301675),9723 AS
44,46.0,Groningen v. Heemskerckstraat,Enexis,Bestaand,40.0,71.0,0.0,9.0,2029,2032,0.0,11.0,>2035,2030,0,9,0,9,0,20,2023/02/01,9,9,20,9,0,0,0,0,(53.21273076369706 6.545713332826194),9726 KA
45,47.0,Haaksbergen,Enexis,Bestaand,42.0,30.0,0.0,1.0,>2035,2033,0.0,10.0,>2035,2026,0,1,0,11,0,11,2023/02/01,1,11,11,1,0,0,0,0,(52.14967299077944 6.7156461914585055),7481 WE
46,49.0,Hapert,Enexis,Bestaand,75.0,75.0,0.0,0.0,2023,2023,104.0,13.0,2026,2026,0,0,104,13,180,13,2023/02/01,0,13,13,0,0,104,180,0,(51.37305183408047 5.2706270427833),5527 AN
47,50.0,Haps,Enexis,Bestaand,80.0,67.0,0.0,0.0,2023,2023,56.0,69.0,2028,2028,0,0,0,0,146,119,2023/02/01,0,0,119,0,0,0,146,0,(51.680586892712384 5.884270806241038),5443 PG
48,51.0,Hardenberg,Enexis,Bestaand,47.0,43.0,0.0,0.0,2023,2030,53.0,17.0,2030,2030,0,0,0,0,53,17,2023/02/01,0,0,17,0,0,0,53,0,(52.57441947192393 6.5981267325586055),7773 ND
49,52.0,Heer,Enexis,Bestaand,40.0,40.0,0.0,0.0,2028,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(50.83192015026212 5.720297378416471),6227 RM
50,53.0,Helden,Enexis,Bestaand,150.0,67.0,0.0,0.0,2023,2023,70.0,7.0,2028,2028,0,0,0,0,70,7,2023/02/01,0,0,7,0,0,0,70,0,(51.30628178928559 5.983153777444236),5987 NB
51,54.0,Helmond Oost,Enexis,Bestaand,35.0,83.0,0.0,0.0,2023,2023,29.0,23.0,2026,2026,0,0,29,23,29,23,2023/02/01,0,23,23,0,0,29,29,0,(51.46469553184002 5.688181259487456),5705 DM
52,55.0,Helmond Zuid,Enexis,Bestaand,75.0,112.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(51.45885070031095 5.6669663002239465),5706 LE
53,56.0,Hengelo Bolderhoek,Enexis,Bestaand,38.0,38.0,0.0,9.0,2024,2033,12.0,3.0,2027,2027,0,9,0,9,12,12,2023/02/01,9,9,12,9,0,0,12,0,(52.24121774557352 6.7838657935089755),7554 TX
54,57.0,Hengelo Weideweg,Enexis,Bestaand,74.0,97.0,0.0,8.0,2035,2027,56.0,0.0,2030,>2035,0,8,0,8,56,8,2023/02/01,8,8,8,8,0,0,56,0,(52.272980287545096 6.774981942776326),7556 AZ
55,58.0,Hoogeveen,Enexis,Bestaand,90.0,78.0,0.0,0.0,2023,2032,40.0,59.0,2030,2030,0,0,0,0,40,72,2023/02/01,0,0,72,0,0,0,40,0,(52.73711341144908 6.475347148455237),7901 TA
56,59.0,Horst,Enexis,Bestaand,50.0,57.0,0.0,0.0,2023,2023,85.0,137.0,2028,2028,0,0,0,0,85,168,2023/02/01,0,0,168,0,0,0,85,0,(51.452844648974526 6.084763182492518),5962 NA
57,60.0,Huskensweg,Enexis,Bestaand,38.0,44.0,0.0,0.0,2023,2023,0.0,3.0,>2035,2028,0,0,0,0,0,3,2023/02/01,0,0,3,0,0,0,0,0,(50.89735034204352 5.967773222951549),6412 SB
58,61.0,Ijsselmuiden,Enexis,Bestaand,48.0,15.0,0.0,2.0,2023,>2035,12.0,5.0,2030,2030,0,2,0,2,12,7,2023/02/01,2,2,7,2,0,0,12,0,(52.5715667952493 5.959979270494447),8271 PN
59,62.0,Kampen,Enexis,Bestaand,23.0,40.0,0.0,7.0,2023,>2035,17.0,10.0,2030,2030,0,7,0,7,17,17,2023/02/01,7,7,17,7,0,0,17,0,(52.55991771151999 5.8793462332184525),8263 CD
60,63.0,Kelpen,Enexis,Bestaand,18.0,16.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(51.23604348049226 5.815483231272559),6037 RM
61,64.0,Klazienaveen Zwet,Enexis,Bestaand,33.0,15.0,0.0,0.0,2023,>2035,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(52.73798917401349 7.010689382761051),7891 XK
62,65.0,Kropswolde,Enexis,Bestaand,58.0,80.0,0.0,16.0,2023,>2035,55.0,40.0,2030,2030,0,16,0,16,55,56,2023/02/01,16,16,56,16,0,0,55,0,(53.16030221486861 6.721352641137577),9606 PG
63,66.0,Limmel,Enexis,Bestaand,220.0,172.0,0.0,0.0,2023,2023,0.0,22.0,>2035,2028,0,0,0,0,0,22,2023/02/01,0,0,22,0,0,0,0,0,(50.86289276744418 5.70689935263947),6222 CT
64,67.0,Losser,Enexis,Bestaand,55.0,18.0,0.0,1.0,>2035,>2035,0.0,0.0,>2035,>2035,0,1,0,1,0,1,2023/02/01,1,1,1,1,0,0,0,0,(52.250396345941596 7.00569806263644),7582 CN
65,68.0,Lutterade,Enexis,Bestaand,55.0,67.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(50.98054750253589 5.817392045589839),6163 VK
66,69.0,Maalbroek,Enexis,Bestaand,58.0,55.0,0.0,0.0,2023,2023,0.0,6.0,>2035,2028,0,0,0,0,0,6,2023/02/01,0,0,6,0,0,0,0,0,(51.20145196625837 6.051806050119949),6042 LT
67,70.0,Maarheeze,Enexis,Bestaand,88.0,50.0,0.0,0.0,2023,2023,45.0,22.0,2026,2026,0,0,45,22,181,22,2023/02/01,0,22,22,0,0,45,181,0,(51.31721280147433 5.631950715812448),6026 RJ
68,71.0,Maasbracht,Enexis,Bestaand,60.0,53.0,0.0,0.0,2023,2023,165.0,3.0,2028,2028,0,0,0,0,165,3,2023/02/01,0,0,3,0,0,0,165,0,(51.14700743703716 5.920361316443244),6051 MZ
69,72.0,Marsdijk,Enexis,Bestaand,37.0,42.0,0.0,0.0,2024,2031,92.0,8.0,2030,2026,0,0,0,8,92,57,2023/02/01,0,8,57,0,0,0,92,0,(53.01350207537964 6.581256328181882),9403 VL
70,73.0,Meeden 20kV,Enexis,Bestaand,340.0,199.0,0.0,138.0,2030,>2035,0.0,0.0,>2035,>2035,0,138,0,138,0,138,2023/02/01,138,138,138,138,0,0,0,0,(53.12360831686302 6.945938713173675),9678 TH
71,75.0,Meppel,Enexis,Bestaand,43.0,75.0,0.0,0.0,2023,2028,0.0,10.0,>2035,2030,0,0,0,0,0,10,2023/02/01,0,0,10,0,0,0,0,0,(52.68384067117701 6.189214063927173),7944 BK
72,77.0,Merum,Enexis,Bestaand,65.0,46.0,0.0,0.0,2023,2023,46.0,15.0,2028,2028,0,0,0,0,46,15,2023/02/01,0,0,15,0,0,0,46,0,(51.16573328457228 5.960058229508626),6049 CD
73,78.0,Moerdijk,Enexis,Bestaand,212.0,201.0,0.0,0.0,2023,2023,0.0,19.0,>2035,2026,0,0,0,19,0,19,2023/02/01,0,19,19,0,0,0,0,0,(51.66449027555063 4.582052244907015),4761 PM
74,80.0,Musselkanaal Zandberg,Enexis,Bestaand,66.0,30.0,0.0,15.0,2023,>2035,150.0,100.0,2030,2030,0,15,0,15,150,135,2023/02/01,15,15,135,15,0,0,150,0,(52.91351781245568 7.03127001684867),9564 PC
75,81.0,Nederweert,Enexis,Bestaand,90.0,52.0,0.0,0.0,2023,2023,50.0,11.0,2030,2028,0,0,0,0,50,11,2023/02/01,0,0,11,0,0,0,50,0,(51.270273734127315 5.736588219366819),6003 DE
76,82.0,Nijverdal,Enexis,Bestaand,21.0,40.0,0.0,1.0,2023,2027,19.0,10.0,2030,2030,0,1,0,1,19,11,2023/02/01,1,1,11,1,0,0,19,0,(52.371569975977934 6.470262128508757),7443 TB
77,84.0,Oldenzaal,Enexis,Bestaand,30.0,41.0,0.0,1.0,2030,2021,20.0,0.0,2030,>2035,0,1,0,1,20,1,2023/02/01,1,1,1,1,0,0,20,0,(52.305180132865466 6.918963471670573),7572 PB
78,85.0,Olst,Enexis,Bestaand,21.0,17.0,0.0,1.0,2023,2031,10.0,8.0,2023,2030,10,1,10,1,29,9,2023/02/01,1,1,9,1,10,10,29,0,(52.357949618871004 6.126504010871945),8121 RZ
79,86.0,Ommen Dante,Enexis,Bestaand,25.0,29.0,0.0,1.0,2023,2024,75.0,11.0,2030,2030,0,1,0,1,75,12,2023/02/01,1,1,12,1,0,0,75,0,(52.528219543901535 6.408355148098686),7731 ZE
80,87.0,Oosteind,Enexis,Bestaand,35.0,87.0,0.0,0.0,2023,2023,0.0,16.0,>2035,2026,0,0,0,16,0,16,2023/02/01,0,16,16,0,0,0,0,0,(51.646036598674705 4.92584170497182),4909 BM
81,88.0,Oss,Enexis,Bestaand,95.0,136.0,0.0,0.0,2023,2023,6.0,0.0,2026,>2035,0,0,6,0,6,0,2023/02/01,0,0,0,0,0,6,6,0,(51.76478887279503 5.550719387240212),5349 AK
82,89.0,Princenhage,Enexis,Bestaand,40.0,40.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(51.581593433506676 4.728357487201328),4814 RX
83,90.0,Raalte,Enexis,Bestaand,83.0,41.0,0.0,1.0,2023,2021,27.0,7.0,2030,2025,0,1,0,8,27,20,2023/02/01,1,8,20,1,0,0,27,0,(52.3779483604267 6.27126663151765),8101 PN
84,91.0,Rijssen,Enexis,Bestaand,34.0,35.0,0.0,0.0,2023,2028,46.0,4.0,2030,2026,0,0,0,4,46,15,2023/02/01,0,4,15,0,0,0,46,0,(52.302544156899515 6.475678078881988),7462 SE
85,92.0,Roermond,Enexis,Bestaand,35.0,21.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(51.182075683219566 5.9723130069081325),6041 NS
86,93.0,Roosendaal,Enexis,Bestaand,150.0,89.0,0.0,0.0,2023,2023,0.0,42.0,>2035,2026,0,0,0,42,0,42,2023/02/01,0,42,42,0,0,0,0,0,(51.546187891242155 4.485192355981583),4702 LC
87,94.0,Schoonbron,Enexis,Bestaand,45.0,47.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(50.85411280619854 5.886190748299318),6312 AG
88,95.0,s-Hertogenbosch Noord,Enexis,Bestaand,75.0,172.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(51.70950462599002 5.299183231116341),5231 XP
89,96.0,s-Hertogenbosch West,Enexis,Bestaand,49.0,45.0,0.0,0.0,2023,2023,0.0,5.0,>2035,2026,0,0,0,5,0,5,2023/02/01,0,5,5,0,0,0,0,0,(51.712362421191926 5.274290160738289),5221 BM
90,97.0,Stadskanaal,Enexis,Bestaand,73.0,30.0,0.0,12.0,2023,>2035,62.0,99.0,2030,2030,0,12,0,12,62,122,2023/02/01,12,12,122,12,0,0,62,0,(52.975420335433164 6.968030048040201),9503 GA
91,98.0,Steenwijk,Enexis,Bestaand,48.0,41.0,0.0,6.0,2023,2033,13.0,58.0,2023,2030,13,6,13,6,152,64,2023/02/01,6,6,64,6,13,13,152,0,(52.777455426628805 6.1425647107136),8344 XT
92,99.0,Terwinselen,Enexis,Bestaand,110.0,116.0,0.0,0.0,2023,2023,17.0,12.0,2028,2028,0,0,0,0,17,12,2023/02/01,0,0,12,0,0,0,17,0,(50.86808855535447 6.017525948513444),6418 TZ
93,100.0,Tilburg Centrum,Enexis,Bestaand,82.0,82.0,0.0,0.0,2023,>2035,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(51.56250262267149 5.08528905199468),5041 DJ
94,101.0,Tilburg Noord,Enexis,Bestaand,56.0,145.0,0.0,0.0,2023,2023,151.0,62.0,2026,2026,0,0,151,62,196,107,2023/02/01,0,62,107,0,0,151,196,0,(51.59423509250877 5.085343789388346),5011 JJ
95,102.0,Tilburg West,Enexis,Bestaand,60.0,88.0,0.0,0.0,2023,2023,40.0,76.0,2026,2026,0,0,40,92,40,92,2023/02/01,0,92,92,0,0,40,40,0,(51.59883928670282 5.025266432262128),5048 CA
96,103.0,Tilburg Zuid,Enexis,Bestaand,93.0,125.0,0.0,0.0,2023,2023,48.0,16.0,2026,2026,0,0,48,16,107,75,2023/02/01,0,16,75,0,0,48,107,0,(51.537792751635095 5.051963979954967),5026 SB
97,104.0,Treebeek,Enexis,Bestaand,46.0,57.0,0.0,0.0,2023,2023,0.0,0.0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(50.93466400448686 5.9420656697731555),6446 LA
98,105.0,Tubbergen,Enexis,Bestaand,9.0,17.0,0.0,1.0,2023,2025,21.0,14.0,2030,2026,0,1,0,15,21,15,2023/02/01,1,15,15,1,0,0,21,0,(52.393829750606606 6.763980994731429),7651 NK
99,106.0,Uden,Enexis,Bestaand,45.0,111.0,0.0,0.0,2023,2023,51.0,13.0,2026,2026,0,0,51,13,51,48,2023/02/01,0,13,48,0,0,51,51,0,(51.67865133325569 5.6494107186408735),5406 XD
100,107.0,Veendam,Enexis,Bestaand,83.0,61.0,0.0,38.0,2023,>2035,40.0,59.0,2029,2030,0,38,0,38,40,97,2023/02/01,38,38,97,38,0,0,40,0,(53.09097960864251 6.880452499924264),9641 KN
101,108.0,Veenoord,Enexis,Bestaand,36.0,26.0,0.0,0.0,2023,>2035,4.0,34.0,2030,2030,0,0,0,0,4,34,2023/02/01,0,0,34,0,0,0,4,0,(52.71493589227819 6.842409326758536),7844 NG
102,110.0,Venray,Enexis,Bestaand,136.0,133.0,0.0,0.0,2023,2023,0.0,3.0,>2035,2028,0,0,0,0,0,3,2023/02/01,0,0,3,0,0,0,0,0,(51.540341000911674 5.990302033877765),5803 AN
103,111.0,Vierverlaten,Enexis,Bestaand,106.0,106.0,0.0,15.0,2022,2028,202.0,123.0,2023,2023,202,138,202,188,202,217,2023/02/01,138,188,217,15,202,202,202,0,(53.21061579823218 6.475177649632803),9744 TD
104,112.0,Vollenhove,Enexis,Bestaand,20.0,20.0,0.0,1.0,2023,2028,16.0,5.0,2023,2030,16,1,16,1,20,6,2023/02/01,1,1,6,1,16,16,20,0,(52.67239444914181 5.935023319569547),8325 XD
105,113.0,Vroomshoop,Enexis,Bestaand,44.0,34.0,0.0,1.0,2023,2029,20.0,20.0,2026,2026,0,1,20,21,31,21,2023/02/01,1,21,21,1,0,20,31,0,(52.44768783347635 6.56614111061166),7681 KA
