,zip_code,beschikbare_capaciteit_invoeding_huidig_mva,beschikbare_capaciteit_afname_huidig_mva,station_lat,station_long,center_vlak_lat,center_vlak_long,area_vlak,distance_to_station,name
706,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.88882869239392,4.63345088938048,380.00500396007,1238.9663445432386,Slikkerveer 50 kV
707,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.88783891291705,4.677374307462177,1677.2019835250721,4196.609807418553,Slikkerveer 50 kV
708,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.89081595447737,4.687056173445515,165.58527085674865,4890.617120404224,Slikkerveer 50 kV
709,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.89538041366772,4.616422508877463,8943.450768658908,1130.7076084934572,Slikkerveer 50 kV
710,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.90489006346026,4.735520975322399,4743.4127322171735,8463.343429536013,Slikkerveer 50 kV
711,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.89885451084945,4.623026075135857,608.2524537390785,1584.160495510494,Slikkerveer 50 kV
712,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.893464816599675,4.647439171171562,6587.438274745892,2320.9293505957,Slikkerveer 50 kV
713,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.899364345621734,4.713105957113653,4142.938682635252,6821.900711451623,Slikkerveer 50 kV
714,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.899409135178566,4.699321596318402,5813.512703696978,5906.847927797318,Slikkerveer 50 kV
715,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.89624002401912,4.64241524637754,9926.108704453407,2167.256688917565,Slikkerveer 50 kV
716,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.91019485918498,4.640667348888355,6813.540295423872,3239.6459461308855,Slikkerveer 50 kV
717,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.900176344323576,4.5959579804578405,849.1264085842869,2175.3193231431515,Slikkerveer 50 kV
718,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.89227460059101,4.6668090498833985,9395.954301240115,3549.12827602397,Slikkerveer 50 kV
719,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.86056863950001,4.6147392775,15.842690524821156,2742.4922894050114,Slikkerveer 50 kV
720,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.86588276954984,4.604832599873788,69.28411803274835,2290.715768337224,Slikkerveer 50 kV
721,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.884696821011644,4.614400649636756,1526.5189411756658,147.167830277164,Slikkerveer 50 kV
722,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.88713381138991,4.604692181712969,30.729184668428793,829.8766172600214,Slikkerveer 50 kV
723,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.8647519613912,4.598383526466838,274.39159786562726,2588.703101968954,Slikkerveer 50 kV
724,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.87174362367707,4.596615382451435,4363.454464549792,2020.5730766794927,Slikkerveer 50 kV
725,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.872882594800544,4.591300446864369,33.34871196200749,2200.50545307575,Slikkerveer 50 kV
726,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.875809562,4.599479725999999,17.468048304430788,1561.4398969195217,Slikkerveer 50 kV
727,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.86084588250001,4.5991575255,43.49999239354564,2956.0053059605375,Slikkerveer 50 kV
728,2983 GS,65.0,18.0,51.885211756465914,4.616375937498885,51.861984765397395,4.597356904777242,1043.0831529773786,2894.007281254402,Slikkerveer 50 kV
729,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.86818975569472,4.314395915991836,14214.336261177315,1881.5131078485945,Vondelingenweg 66 kV
730,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.87635035504436,4.324467979706211,88779.45076662613,748.8879114169555,Vondelingenweg 66 kV
731,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.86836809955266,4.281295202546194,9959.18332134965,3646.344418224404,Vondelingenweg 66 kV
732,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.878875377083425,4.2391051365340955,101660.05938823106,6204.348297350665,Vondelingenweg 66 kV
